Título,Autor,Materia,Resumen,Fecha,Idioma
Validación de Belief Medicines Questionnaire y Self-efficacy for Appropriate Medication Use Scale para medir adherencia al tratamiento farmacológico en pacientes con enfermedad inflamatoria intestinal,"Bozada-Gutiérrez,Katya Estefanía",Adherencia," La adherencia terapéutica es crucial en la enfermedad inflamatoria intestinal (EII) para evitar recaídas y complicaciones. En México no se dispone de una herramienta validada para evaluar adherencia en pacientes con EII.  Traducir los instrumentos Belief Medicines Questionnaire (BMQ) y Self-Efficacy for Appropriate Medication Use Scale (SEAMS), y determinar su validez, fiabilidad y sensibilidad en pacientes mexicanos con diagnóstico de EII.  Método: Se incluyeron 149 pacientes con diagnóstico de EII, previo consentimiento informado. Se tradujeron los instrumentos al español y posteriormente fueron aplicados durante la consulta médica. Para la SEAMS se realizó análisis factorial exploratorio, análisis de curva ROC y determinación del alpha de Cronbach; para el BMQ se empleó el coeficiente kappa de Cohen y su capacidad predictiva.  Resultados: Se incluyeron 75 mujeres (50.3 %) con edad promedio de 44 años. La escala SEAMS mostró un único factor altamente confiable (alfa de Cronbach = 0.92) y un punto de corte de 33 para identificar a los pacientes adherentes. Las dimensiones adherencia y barrera de recuerdo del BMQ fueron adecuados predictores de adherencia.  Conclusiones: Las versiones en español SEAMS y BMQ son válidas para medir autoeficacia y barreras para la adherencia al tratamiento farmacológico en pacientes mexicanos con EII.",01/04/2019,es
Linfoma anaplásico de células T grandes primario cutáneo CD30+. Serie de nueve casos,"Ruiz-Arriaga,León Felipe",Linfoma anaplásico de células T grandes CD30+," El linfoma anaplásico de células T grandes CD30+ es un linfoma primario cutáneo en el cual no hay evidencia de enfermedad sistémica; para su diagnóstico es necesario el estudio histopatológico.  Presentar los casos diagnosticados en el Departamento de Dermatología del Hospital General “Dr. Manuel Gea González” con linfomas anaplásicos de células T grandes primarios cutáneos CD30+ durante un periodo de 24 años.  Método: Estudio retrospectivo en el que realizó estadística descriptiva. Se recopiló información de sexo, edad, características clínicas, resultados de pruebas complementarias, tratamientos previos y actuales, reportes de los estudios histopatológicos y de inmunohistoquímica.  Resultados: Entre 29 309 expedientes, se encontraron nueve casos (0.000034 %) con diagnóstico de linfoma anaplásico de células T CD30+. Se hizo la confirmación del diagnóstico histopatológico e inmunohistoquímico por dos dermatopatólogos certificados. La edad promedio fue de 61.2 años, hubo predominio del sexo femenino y de lesión papular o nodular y topografía variada como presentación clínica inicial.  Conclusiones: El pronóstico del linfoma anaplásico de células T grandes CD30+ en la población estudiada fue dependiente del estadio clínico. El tratamiento en etapas tempranas tiene resultados favorables.",01/04/2019,es
Revisión sistemática de procedimientos quirúrgicos usados para tratar patología aórtica en México,"Barragán-Galindo,Luis",México," En México no se cuentan con estadísticas adecuadas acerca de la enfermedad aórtica, que puede ser tratada mediante manejo médico o cirugía abierta o endovascular.  Identificar la literatura en bases de datos electrónicas relativa al manejo invasivo de la patología aórtica en México.  Método: Se realizó búsqueda sistemática y revisión narrativa de la literatura disponible en diferentes bases de datos electrónicas: PubMed, Imbiomed, Clinical Key, Bibliat, Scielo, Sage Journals, Sciencedirect y con el motor de búsqueda de Google Académico.  Resultados: Se encontraron 90 artículos, de los cuales 50 reunían los criterios de inclusión. Fueron seleccionados estudios observacionales y reportes de casos, con énfasis en los datos demográficos de los pacientes, resultados clínicos y la supervivencia posoperatoria a 30 días.  Conclusión: Se reporta elevada tasa de complicaciones de las enfermedades aórticas debido al infradiagnóstico de estas, que deriva en manejo más complejo y pronóstico desfavorable. La creación de un registro nacional de patología aórtica es crucial para la estandarización en el abordaje y la optimación de los resultados.",01/04/2019,es
Enfermedad periodontal como factor de riesgo adicional asociado con nacimiento pretérmino en México: un estudio de casos y controles,"Pérez-Molina,J. Jesús",Nacimiento pretérmino," Las sustancias relacionadas con los microorganismos involucrados en la enfermedad periodontal puedan llegar a la interfaz materno-fetal por vía hematógena y estimular la contractilidad uterina.  Determinar la asociación entre enfermedad periodontal con nacimiento pretérmino.  Método: Estudio de casos y controles de 343 embarazadas pretérmino y 686 de término. Se calculó la edad gestacional por fecha de último periodo menstrual y se confirmó con los métodos de Capurro y Ballard. La enfermedad periodontal se diagnosticó por la profundidad del espacio entre la raíz dental y la encía. La asociación fue medida con regresión logística.  Resultados: La edad de las madres en los casos fue de 23.8 ± 6.7 años y en los controles de 23.2 ± 6.7 años. La enfermedad periodontal estuvo presente en 66.8 % de los casos y 40.5 % de los controles. Los factores asociados con nacimiento pretérmino fueron enfermedad periodontal (RM = 2.26), antecedente de nacimiento pretérmino (RM = 4.96), embarazo no planeado (RM = 2.15), control prenatal deficiente (RM = 2.53), infección de vías urinarias (RM = 2.22), preeclampsia (RM = 4.49), ruptura prematura de membranas amnióticas (RM = 2.59) y nacer por cesárea (RM = 9.15).  Conclusión: La enfermedad periodontal en el embarazo constituyó un factor de riesgo independiente para nacimiento pretérmino.",01/04/2019,es
Encuesta en población abierta respecto a términos relacionados con decisiones al final de la vida,"Pichardo-García,Luz María Guadalupe",Final de la vida," Conceptos relacionados con las decisiones que se toman al final de la vida, como eutanasia, cuidados paliativos, voluntad anticipada y obstinación terapéutica son poco comprendidos por la población en general, que en el momento de enfrentar una situación terminal no está preparada para elegir la mejor opción.  Estudio piloto (n = 544) para conocer lo que la población abierta entiende acerca de términos utilizados al final de la vida en cuatro ciudades de la república mexicana.  Método: Encuesta vía internet de 18 preguntas sobre los distintos términos. Se trató de un estudio descriptivo, transversal, con análisis estadístico.  Resultados: Se eligieron personas mayores de 18 años que no trabajaran en profesiones relacionadas con la salud.  Conclusiones: La mayoría de los términos del final de la vida no interesaron ni fueron entendidos por parte de la población. El término menos reconocido fue la obstinación terapéutica (62.8 %) y el más conocido, cuidados paliativos (91 %); se confunden los términos eutanasia y suicidio asistido (47.8 %). La edad y escolaridad resultaron de mayor influencia en los resultados, que las otras variables demográficas.",01/04/2019,es
Inercia clínica en el tratamiento con insulina en el primer nivel de atención,"Vázquez,Felipe",Inercia clínica," Poco se ha evaluado el rechazo de los médicos a prescribir insulina a sus pacientes; el retraso en intensificar el tratamiento impide una atención adecuada y de calidad.  Identificar la percepción de los médicos acerca de las barreras para iniciar la insulina en los pacientes con diabetes.  Método: Por Índice Smith y análisis multivariado, en 81 médicos familiares se evaluó la relevancia y agrupación de los conceptos relacionados con las barreras para la prescripción de insulina.  Resultados: 35.8 % de los médicos mostró confianza en prescribir insulina; casi la mitad calificó la intensificación del tratamiento entre moderadamente y poco importante (39.5 y 6.2 %). Las barreras se relacionaron con el médico (39.5 %), el paciente (37 %), el tratamiento con insulina (11.1 %) y la institución (6.2 %); 6.2 % de los médicos no percibió ninguna barrera. Las barreras se agruparon en cinco factores, que explicaron 62.48 % de la varianza: cultura de los pacientes, falta de habilidades, miedo a los eventos adversos, inseguridad y falta de capacitación.  Conclusión: La inercia clínica no resultó de una condición clínica compleja o comorbilidades del paciente, sino de la percepción del médico y de su confianza en sus habilidades clínicas y comunicativas.",01/04/2019,es
Factores predictores del estado libre de cálculos en la primera ureteroscopia flexible con litotricia láser,"Maldonado-Alcaraz,Efraín",Ureteroscopia," La ureteroscopia flexible con litotricia láser (URSLL) es una modalidad mínimamente invasiva de tratamiento quirúrgico de cálculos renales. La selección inadecuada de pacientes para este procedimiento genera un desbalance de costo-efectividad.  Conocer los factores predictores de estado libre de litos en un solo tiempo quirúrgico en pacientes sometidos a URSLL.  Método: Cohorte retrospectiva de pacientes sometidos a URSLL. Se realizó un análisis univariado y multivariado (regresión logística) de los predictores de estado libre de cálculos en la primera URSLL, global y categorizado por sexo.  Resultados: EL estado libre de cálculos en la primera URSLL fue de 73.62 %. Los predictores de estado libre de cálculos en hombres fueron edad y tamaño, densidad y multiplicidad del cálculo; en las mujeres, el índice de masa corporal y la multiplicidad del cálculo.  Conclusiones: Los factores pronósticos de estado libre de cálculos en la primera URSLL son distintos en hombres y mujeres. Las mujeres con obesidad y sobrepeso probablemente tengan cálculos de fácil fragmentación y extracción asociados con ácido úrico.",01/04/2019,es
De vuelta a la clínica: sin justificación no existe pregunta de investigación que valga,"Talavera,Juan O.",Justificación,"La formulación de una pregunta de investigación clínica requiere la concurrencia de experiencia clínica y conocimiento en metodología y estadística. Inicialmente, la pregunta de investigación debe contar con una estructura que deje claro qué se busca (consecuencia o desenlace), en quién (estado basal) y por acción de qué (maniobra). Posteriormente, su argumentación debe explorar cuatro aspectos: factibilidad y sensatez del cuestionamiento, ausencia de respuesta previa, relevancia de la respuesta a obtener y aplicabilidad. Una vez que estos aspectos han sido cubiertos en forma satisfactoria puede considerarse que la pregunta es “clínicamente relevante”, que es diferente a significancia estadística (la probabilidad de que el resultado se deba al azar y que no refleja la relevancia de la pregunta ni de los resultados). Nunca se debe olvidar que toda maniobra conlleva eventos adversos, que cuando son graves demeritan los buenos resultados. Es imperativo estimar la posible respuesta desde la estructura de la pregunta; la función de la investigación clínica es corroborar o rechazar una hipótesis, no probar empíricamente para ver qué resulta.",01/04/2019,es
Salud electrónica (e-Salud): un marco conceptual de implementación en servicios de salud,"León-Castañeda,Christian Díaz de",Ciencia de la Información,"La salud electrónica (e-Salud) es un concepto amplio que implica la aplicación de las tecnologías de la información y la comunicación en los sistemas de vigilancia, prevención, promoción y atención a la salud. Como componentes de la e-Salud se incluyen principalmente los sistemas de administración de insumos o recursos (agenda de citas, laboratorio clínico o farmacia), el expediente clínico electrónico, la prescripción electrónica, los sistemas de apoyo a la decisión clínica, el uso de dispositivos móviles, los sistemas de imagenología, los sistemas de atención a distancia, así como la enseñanza a través de medios digitales. Otros componentes que pueden considerarse parte de la e-Salud son los sistemas de almacenamiento y análisis masivo de datos, el aprendizaje artificial y los sistemas de internet de las cosas. En este trabajo se propone un marco conceptual para analizar la implementación de componentes de e-Salud y sus efectos en la calidad de la provisión de servicios de salud.",01/04/2019,es
La esteroidogénesis en el síndrome de ovarios poliquísticos,"Ventura-Arizmendi,Estefanía",Síndrome de ovarios poliquísticos,"El síndrome de ovarios poliquísticos es la enfermedad endocrina más frecuente en la edad reproductiva; se caracteriza por alteraciones menstruales, hiperandrogenismo clínico o bioquímico e identificación ultrasonográfica de quistes ováricos. Las alteraciones neuroendocrinas y metabólicas que lo acompañan implican desensibilización del eje hipotálamo-hipófisis-ovario, esteroidogénesis e hiperandrogenismo. Recientemente se ha explorado el papel de la resistencia a la insulina. Se ha establecido que la principal causa del síndrome de ovarios poliquísticos es el hiperandrogenismo, debido a alteraciones enzimáticas en la vía esteroidogénica, por lo que existe sobreestimulación por parte de la hormona luteinizante a causa de los pulsos rápidos generados por la hormona liberadora de gonadotropinas. Diversos factores de crecimiento y citocinas inhiben la conversión de andrógenos a estrógenos. En la desregulación característica de este síndrome también están involucradas la activina y las prostaglandinas e, incluso, altos niveles de insulina.",01/04/2019,es
Síntesis y uso de histidinato de cobre en niños con enfermedad de Menkes en México,"Flores-Pulido,Andrey Arturo",Menkes,"La enfermedad de Menkes es una patología neurodegenerativa y letal debida a mutaciones génicas de la enzima ATP-7A trasportadora de cobre; se manifiesta por síntomas neurológicos y alteraciones del tejido conectivo de severidad variable. El uso subcutáneo oportuno de histidinato de cobre (Cu-His) es determinante en la calidad de vida. Se reportan las primeras experiencias en México en la síntesis y uso seguro de Cu-His en tres casos en los que corroboramos hipocupremia e hipoceruloplasminemia. Bajo asesoramiento del Hospital for Sick Children, Toronto, Canadá, elaboramos una solución de 500 µg/mL. En los tres casos aplicamos 250 µg de Cu-His, sin efectos indeseables relevantes durante 30 días y observamos las siguientes determinaciones séricas de cobre (Cu en µg/L) y ceruloplasmina (Cp en mg/dL): caso 1, Cu días 0 y 30, 8 y 504 µg/L; Cp días 0 y 30, 4 y 10.75 mg/dL; caso 2, Cu días 0 y 30, < 50 y 502, µg/L; Cp días 0 y 30, 2 y 15 mg/dL; caso 3, Cu días 0 y 30, 3 y 84.2 µg/L; Cp días 0 y 30, 4 y 10.7 mg/dL. En México es posible la síntesis segura de Cu-His y tratar la enfermedad de Menkes, la cual debe ser intencionalmente buscada.",01/04/2019,es
Dispositivos de asistencia ventricular como tratamiento de destino. A propósito de un caso,"Careaga-Reyna,Guillermo",Falla cardiaca terminal,"El tratamiento de la falla cardiaca terminal avanzada ha sido el trasplante de corazón, sin embargo, hay limitantes en cuanto a las características del receptor y disponibilidad de donadores, por lo que se ha utilizado alternativamente el soporte ventricular como tratamiento de destino. Se describe a una paciente con falla cardiaca terminal por cardiomiopatía isquémica en quien se implantó exitosamente un sistema de soporte ventricular izquierdo y a ocho meses del procedimiento se encontraba en clase funcional I, sin complicaciones.",01/04/2019,es
Efecto de la frecuencia de aplicación de estrógenos locales sobre el grosor endometrial en mujeres posmenopáusicas,"Carranza-Lira,Sebastián",Grosor endometrial," Los estrógenos conjugados vía vaginal para aliviar la atrofia y sequedad vaginales pueden producir cambios endometriales.  Conocer el efecto de la frecuencia de aplicación de estrógenos conjugados vía vaginal en el grosor endometrial en mujeres posmenopáusicas.  Método: Se estudiaron 70 mujeres posmenopáusicas con sequedad vaginal que recibieron estrógenos conjugados en crema (0.625 mg/1 g) durante 12 semanas divididas de la siguiente manera según la frecuencia de aplicación: grupo 1, dos veces por semana (n = 35) y grupo 2, tres veces por semana (n = 35). Al inicio y final del tratamiento se determinó el valor estrogénico en la citología vaginal y se realizó ultrasonido endovaginal para medir el grosor endometrial. La comparación entre los grupos se realizó con U de Mann-Whitney y entre los valores pre y postratamiento con prueba de Wilcoxon.  Resultados: De 70 mujeres reclutadas solo se estudiaron 38 mujeres, 19 en cada grupo, pareadas por valor estrogénico inicial. No se encontró diferencia entre los grupos, ni antes ni después del tratamiento, en el índice de maduración, valor estrogénico ni grosor endometrial.  Conclusión: No hubo diferencias en el grosor endometrial entre las distintas frecuencias de aplicación de estrógenos conjugados en crema.",01/04/2019,es
Libertad de prescripción médica,"Lifshitz,Alberto",Medicamentos,"Los médicos requieren flexibilidad para sus prescripciones. Sin embargo, algunos límites están marcados tanto por el conocimiento vigente como por las restricciones de acceso, normas y reglamentos. El Comité de Ética y Transparencia en la Relación Médico-Industria (CETREMI) propone varias sugerencias para ayudar a los pacientes, que incluyen la selección de las mejores alternativas para cada caso, la protocolización de variaciones a los estándares de prescripción (dosis, indicaciones, etcétera) por escrito en el expediente y eludir modas, novedades no probadas, argumentos simplemente publicitarios o promocionales y conflictos de interés.",01/04/2019,es
Determinación del estado nutricional mediante el ángulo de fase en pacientes en hemodiálisis,"Topete-Reyes,Jorge F.",Índice de masa corporal," La bioimpedancia eléctrica multifrecuencia (BIE) evalúa con precisión la composición corporal.  Investigar el estado nutricional y su relación con el índice de masa corporal (IMC) o el ángulo fase obtenido por BIE en pacientes con enfermedad renal terminal (ERT) en hemodiálisis.  Método: En 99 pacientes en hemodiálisis (43.6 ± 17.2 años, 58.8 % varones) se evaluó IMC, BIE y puntuación de desnutrición (DMS, Dialysis Malnutrition Score). La independencia de las asociaciones del IMC y el ángulo fase con el DMS se determinó con regresión lineal múltiple.  Resultados: El riesgo de desnutrición (DMS > 13) se incrementó gradualmente entre los sujetos con IMC y ángulo fase normales (44.4 %), IMC bajo (45.8 %), ángulo fase bajo (64.0 %) y en aquellos con ambos parámetros anormales (68.0 %). El ángulo fase fue la única variable asociada independientemente con el estado nutricional de los pacientes (coeficiente beta estandarizado −0.372, p < 0.001), lo que explicó 13.8 % de la variación en el DMS.  Conclusiones: El ángulo fase se asocia inversa e independientemente con el riesgo de desnutrición en pacientes con ERT, lo que sugiere que la composición corporal evaluada por BIE pudiera ser mejor que el IMC en la valoración clínica de pacientes con esta enfermedad.",01/06/2019,es
Relación de la hiperuricemia con las alteraciones metabólicas y factores de riesgo cardiovascular en jóvenes mexicanos,"Kammar-García,Ashuin",Ácido úrico," La hiperuricemia es un factor de riesgo para enfermedad cardiovascular, pero su impacto no ha sido bien documentado.  Evaluar el impacto de la hiperuricemia en los parámetros metabólicos y los factores de riesgo cardiovascular en mexicanos aparentemente sanos.  Método: Estudio trasversal de 768 adultos jóvenes. Se buscó asociación de la hiperuricemia con alteraciones de los parámetros metabólicos y factores de riesgo cardiovascular (hipertensión, dislipidemia mixta y síndrome metabólico). Se aplicaron modelos loglineales y de regresión para determinar la influencia de la hiperuricemia. Se aplicó análisis multivariado de varianza para observar la interacción de la hiperuricemia y el sobrepeso u obesidad en los cambios de los parámetros metabólicos.  Resultados: Los parámetros metabólicos fueron mayores en los individuos con hiperuricemia que con ácido úrico normal (< 0.05). La hiperuricemia se asoció significativamente con hipertensión (RM = 6.8, IC 95 % = 1.1-46), dislipidemia (RM = 2.5, IC 95 % = 1.3-4.7) y síndrome metabólico (RM = 2.3, IC 95 % = 1.1-4.6). La hiperuricemia y el sobrepeso u obesidad predicen significativamente los cambios en los parámetros metabólicos de riesgo cardiovascular (l de Wilks = 0.91, F [6.175] = 3.1, p = 0.007).  Conclusiones: La hiperuricemia está asociada significativamente con las alteraciones metabólicas y los distintos factores de riesgo cardiovascular.",01/06/2019,es
Alelos HLA más comunes y asociados con riesgo o protección en enfermedad renal crónica de etiología no determinada,"Hernández-Rivera,Juan Carlos H.",Enfermedad renal crónica," La enfermedad renal crónica representa parte del gasto en salud en general; una potencial etiología es la relacionada con variaciones, ausencia o presencia de algunos alelos del human leucocyte antigen (HLA).  Método: Se realizó el análisis de 1965 reportes de HLA sin etiología determinada y de 1361 donadores renales. Se llevó a cabo tecnología Luminex con base en fluorimetría de flujo celular para los locus A, B, DRB1 y DQA. Se realizó análisis con tablas de contingencia para determinar razón de momios (RM) e intervalos de confianza (IC). Se efectuó análisis cuantitativo.  Resultados: De 101 alelos encontrados, 13 presentaron asociación, siete con riesgo para enfermedad renal crónica, de los cuales el más significativo fue HLA-DR17, con RM = 3.91 (IC 95 % = 2.96-5.17), y el de mayor significación de protección fue HLA-DR9, con RM = 0.043 (IC 95 % = 0.005-0.3224).  Conclusiones: Es necesario entender que las enfermedades renales pueden estar ligadas a procesos inmunológicos, en los que se tiene que conocer la asociación de la ausencia o presencia de algún alelo.",01/06/2019,es
"Transmisión vertical del virus de la rabia cría-madre, fenómeno que podría mantener al virus en especies reservorios de vida silvestre","Aréchiga-Ceballos,Nidia",Virus de la rabia," La prueba biológica establecida por la Organización Mundial de la Salud para aislar y amplificar el virus de la rabia consiste en inocular vía intracraneal ratones lactantes para detectar signos de rabia en un periodo de 21 días.  Constatar el contagio viral en las madres de ratones lactantes inoculados con virus de la rabia.  Método: Veintisiete aislados mexicanos de virus de la rabia se inocularon vía intracraneal en ratones lactantes, los cuales fueron observados por 21 días y sus madres, por 60 días. El diagnóstico se llevó a cabo mediante inmunofluorescencia en cerebro. El virus se caracterizó por secuenciación y anticuerpos monoclonales.  Resultados: Todas las camadas presentaron rabia entre siete y 15 días posinoculación (p. i.); tres de las 27 hembras (11 %), a los días 33, 37 y 39 p. i. de sus crías. La caracterización viral mostró que las madres se infectaron con la misma variante de sus crías, dos procedían de murciélago hematófago y una de perro. Las camadas que trasmitieron rabia a sus madres fueron nueve individuos.  Conclusiones: En la naturaleza, el virus de la rabia podría preservarse mediante la transmisión de los neonatos (más susceptibles de contraer y amplificar el virus) a sus madres.",01/06/2019,es
Análisis bibliométrico de las revistas médicas del Sistema de Clasificación de Revistas Mexicanas de Ciencia y Tecnología,"Barajas-Ochoa,Aldo",México," El Sistema de Clasificación de Revistas Mexicanas de Ciencia y Tecnología (SCRMCYT) del Conacyt incluye el área de medicina y ciencias de la salud (MyCS).  Se realizó un análisis bibliométrico de las revistas del MyCS del listado SCRMCYT-2018.  Método: Se analizaron 12 características relacionadas con la indización en las bases de datos Web of Science Core Collection (WoSCC), Scopus y PubMed. Se analizó si la revista indizada tenía publicaciones indizadas recientes (años 2017 y 2018). Se analizaron los 50 artículos más citados de las revistas indizadas en Scopus y WoSCC.  Resultados: De 35 revistas de MyCS incluidas en el SCRMCYT-2018, 31 (89 %) estaban indizadas en Scopus (22 con indización vigente en 2017 y 18 en 2018), 17 (49 %) en PubMed (10 vigentes en 2017 y 2018) y 12 (34 %) en WoSCC (12 vigentes en 2017 y ocho en 2018). Los 50 artículos más citados provenían de solo cuatro revistas indizadas en WoSCC y de cinco en Scopus; 60 % eran artículos de revisión.  Conclusiones: Aproximadamente la mitad de las revistas de MyCS del SCRMCYT-2018 carecen de indización vigente en 2018, por lo que la relevancia nacional e internacional de estas revistas puede mejorar.",01/06/2019,es
Enfermedad granulomatosa hepática,"Ortiz-Brizuela,Edgar",Enfermedad granulomatosa hepática,"Los granulomas son lesiones circunscritas compuestas principalmente por células mononucleares que surgen en respuesta a estímulos antigénicos pobremente degradables. Se encuentran en 2 a 15 % de las biopsias hepáticas; su hallazgo puede significar desde un fenómeno incidental, hasta la manifestación de una enfermedad sistémica de origen infeccioso, autoinmune o neoplásico. El cuadro clínico suele apuntar a la patología subyacente, sin embargo, la lista de condiciones asociadas es amplia y difiere con base en los antecedentes epidemiológicos y a las características basales del paciente. El elemento de mayor utilidad para su estudio es la historia clínica exhaustiva, con énfasis en viajes recientes, exposición de riesgo y consumo de fármacos o alimentos crudos o exóticos. El análisis histopatológico detallado puede auxiliar en la identificación de la etiología, por ejemplo, la presencia de granulomas epitelioides con necrosis caseosa indica tuberculosis y su ausencia, sarcoidosis; la abundancia de eosinófilos es señal de reacciones farmacológicas o infecciones parasitarias; la presencia de cuerpos extraños puede ser la causa de la enfermedad granulomatosa hepática. En este artículo describimos los aspectos clínico-patológicos básicos de esta enfermedad y proveemos un breve de las etiologías más comunes, principalmente en la región de Latinoamérica.",01/06/2019,es
Dinámica mitocondrial en las enfermedades neurodegenerativas,"Alarcón-Aguilar,Adriana",Mitocondria,"Las enfermedades neurodegenerativas son un grupo heterogéneo caracterizado por la disminución gradual, progresiva y selectiva de las funciones del sistema nervioso. La etiología de estas patologías aún se desconoce, sin embargo, se ha propuesto que la función mitocondrial pudiese estar participando en el establecimiento de estas enfermedades, debido al alto requerimiento energético que tienen las neuronas para realizar sus funciones fisiológicas. La mitocondria es un organelo dinámico que puede cambiar su morfología y función en respuesta a diferentes estímulos fisiológicos, por ello se ha empezado a estudiar a la dinámica mitocondrial como uno de los principales reguladores de la supervivencia celular. Este evento comprende diferentes procesos como la generación de nuevas mitocondrias y su eliminación cuando ya no son funcionales, así como los procesos de fusión y fisión mitocondrial y el tráfico de estos organelos en el entorno celular. Todos estos procesos son altamente regulados y tienen como finalidad la óptima funcionalidad de la mitocondria y la homeostasis celular.",01/06/2019,es
Susceptibilidad genética frente al cáncer bucal por infección del virus del papiloma humano,"Rebolledo-Cobos,Martha",Susceptibilidad genética,"Los carcinógenos ambientales y el virus del papiloma humano (VPH) son los principales responsables del cáncer bucal. Los factores de susceptibilidad en el genoma humano desempeñan un papel modulador del riesgo, sin embargo, no todos los individuos expuestos a los carcinógenos padecen cáncer. El objetivo de la presente revisión es describir los principales factores de susceptibilidad genética para cáncer bucal en individuos con infección por VPH. Se realizó una búsqueda sistemática en tres bases de datos en inglés; solo siete artículos cumplieron con los criterios de selección. Se registraron polimorfismos genéticos en tres categorías relacionados con el VPH y que participan en la oncogénesis. Se identificaron tres artículos relativos a la desregulación de los mecanismos de control del ciclo celular, uno relativo a mutaciones en la vía de la apoptosis y tres a polimorfismos en genes de respuesta inflamatoria e inmune. La asociación entre polimorfismos para el desarrollo de cáncer bucal y VPH es evidente, aunque continúa en estudio ya que no siempre el patrón de oncogénesis de las neoplasias bucales está relacionado con el VPH, sino con otros factores ambientales o epigenéticos.",01/06/2019,es
"Deficiencia de lipasa ácida lisosomal, una patología infrecuente","Gómez-Duarte,Catalina",Dislipidemia,"El déficit de lipasa ácida lisosomal es una enfermedad genética poco prevalente, con alta morbimortalidad en niños y adultos. Se caracteriza por alteración del metabolismo lipídico que genera depósitos de ésteres de colesterol y triglicéridos en el organismo. La presentación clínica depende de la actividad enzimática. Se debe sospechar en pacientes con alteraciones lipídicas o alteraciones hepáticas después de descartar otros diagnósticos. Actualmente existe la opción de utilizar enzima recombinante, la cual puede mejorar los parámetros lipídicos y hepáticos, así como detener la progresión de la enfermedad. Es imperioso realizar el diagnóstico oportuno para iniciar de forma temprana el tratamiento específico, con el fin de prevenir la morbimortalidad. Se llevó a cabo revisión de la literatura en torno del déficit de lipasa ácida lisosomal, para orientar acerca de su fisiopatología, manifestaciones clínicas, diagnóstico y tratamiento.",01/06/2019,es
Valoración preoperatoria en cirugía no cardiaca: un abordaje por pasos,"Moreno-Del Castillo,María Cristina",Valoración preoperatoria,"La valoración preoperatoria en cirugía no cardiaca es fundamental para disminuir la tasa de complicaciones hospitalarias; su finalidad es identificar pacientes con riesgos mayores. La valoración preoperatoria no se debe limitar a los aspectos cardiovasculares, sino enfocarse en todos los órganos y sistemas e incluir la conciliación de medicamentos. El objetivo de este escrito es abordar la realización de una valoración preoperatoria en cirugía no cardiaca desde la perspectiva del médico internista, con el fin de ayudar a prevenir eventos adversos y mejorar el desenlace general.",01/06/2019,es
Importancia de la investigación clínica independiente en la medicina: dificultades y recomendaciones,"Arrieta,Oscar",Investigación clínica independiente,"La investigación clínica es la herramienta de mayor importancia para la identificación de estrategias diagnósticas y terapéuticas que deriven en mayor eficacia y seguridad. A pesar de su trascendencia, la implementación exitosa de la investigación clínica presenta numerosas dificultades; entre las más relevantes se encuentra la poca disponibilidad de recursos para realizar ensayos clínicos independientes. Por lo general, la industria farmacéutica absorbe los costos asociados con la mayoría de los ensayos clínicos, sin embargo, esto puede generar una disociación entre los temas de interés y las prioridades en salud, al existir interés económico como principal motivación de estos protocolos. Además del papel relevante de la industria farmacéutica, es importante que las instancias gubernamentales favorezcan las condiciones, tanto económicas como regulatorias, para la implementación de investigación clínica independiente, que aborde temas de interés médico y terapéutico, aunque no genere beneficios económicos empresariales.",01/06/2019,es
"Desde el ISET al InDRE. I. Instituto de Salubridad y Enfermedades Tropicales: génesis y primeros años, 1934-1940","Ramírez-Hernández,Jorge Alejandro",Instituto de Salubridad y Enfermedades Tropicales,"La visión del gobierno cardenista y el proceso para crear el Instituto de Salubridad y Enfermedades Tropicales, considerado estratégico para la salud pública, fueron congruentes con las acciones llevadas a cabo: el Departamento de Salubridad Pública encargó al científico más relevante de la época, Eliseo Ramírez, el diseño y seguimiento del Instituto, que una comisión del Consejo Nacional de Educación Superior y la Investigación Científica revisó, aprobó y desde su inicio le confirió el carácter de investigación con vocación social y humanística. El Instituto de Salubridad y Enfermedades Tropicales se convirtió en el primer organismo posrevolucionario que nació con plazas bien remuneradas para realizar investigación de tiempo completo en México, ofreciendo servicio clínico y enseñanza y apoyando las campañas sanitarias en la prevención y control de las enfermedades. Sin duda fue un parteaguas en la salud pública mexicana y cristalizó las expectativas de varias generaciones de médicos e investigadores en salud para tener una institución de alto nivel. Es la más significativa institución de salud pública del país, con una nueva etapa como Instituto de Diagnóstico y Referencia Epidemiológicos; sin ella no se entiende la moderna salud pública de México.",01/06/2019,es
